"","GEOID","NAME","variable","value"
"1","39001","Adams County, Ohio","totpop",27477
"2","39003","Allen County, Ohio","totpop",102206
"3","39005","Ashland County, Ohio","totpop",52447
"4","39007","Ashtabula County, Ohio","totpop",97574
"5","39009","Athens County, Ohio","totpop",62431
"6","39011","Auglaize County, Ohio","totpop",46422
"7","39013","Belmont County, Ohio","totpop",66497
"8","39015","Brown County, Ohio","totpop",43676
"9","39017","Butler County, Ohio","totpop",390357
"10","39019","Carroll County, Ohio","totpop",26721
"11","39021","Champaign County, Ohio","totpop",38714
"12","39023","Clark County, Ohio","totpop",136001
"13","39025","Clermont County, Ohio","totpop",208601
"14","39027","Clinton County, Ohio","totpop",42018
"15","39029","Columbiana County, Ohio","totpop",101877
"16","39031","Coshocton County, Ohio","totpop",36612
"17","39033","Crawford County, Ohio","totpop",42025
"18","39035","Cuyahoga County, Ohio","totpop",1264817
"19","39037","Darke County, Ohio","totpop",51881
"20","39039","Defiance County, Ohio","totpop",38286
"21","39041","Delaware County, Ohio","totpop",214124
"22","39043","Erie County, Ohio","totpop",75622
"23","39045","Fairfield County, Ohio","totpop",158921
"24","39047","Fayette County, Ohio","totpop",28951
"25","39049","Franklin County, Ohio","totpop",1323807
"26","39051","Fulton County, Ohio","totpop",42713
"27","39053","Gallia County, Ohio","totpop",29220
"28","39055","Geauga County, Ohio","totpop",95397
"29","39057","Greene County, Ohio","totpop",167966
"30","39059","Guernsey County, Ohio","totpop",38438
"31","39061","Hamilton County, Ohio","totpop",830639
"32","39063","Hancock County, Ohio","totpop",74920
"33","39065","Hardin County, Ohio","totpop",30696
"34","39067","Harrison County, Ohio","totpop",14483
"35","39069","Henry County, Ohio","totpop",27662
"36","39071","Highland County, Ohio","totpop",43317
"37","39073","Hocking County, Ohio","totpop",28050
"38","39075","Holmes County, Ohio","totpop",44223
"39","39077","Huron County, Ohio","totpop",58565
"40","39079","Jackson County, Ohio","totpop",32653
"41","39081","Jefferson County, Ohio","totpop",65249
"42","39083","Knox County, Ohio","totpop",62721
"43","39085","Lake County, Ohio","totpop",232603
"44","39087","Lawrence County, Ohio","totpop",58240
"45","39089","Licking County, Ohio","totpop",178519
"46","39091","Logan County, Ohio","totpop",46150
"47","39093","Lorain County, Ohio","totpop",312964
"48","39095","Lucas County, Ohio","totpop",431279
"49","39097","Madison County, Ohio","totpop",43824
"50","39099","Mahoning County, Ohio","totpop",228614
"51","39101","Marion County, Ohio","totpop",65359
"52","39103","Medina County, Ohio","totpop",182470
"53","39105","Meigs County, Ohio","totpop",22210
"54","39107","Mercer County, Ohio","totpop",42528
"55","39109","Miami County, Ohio","totpop",108774
"56","39111","Monroe County, Ohio","totpop",13385
"57","39113","Montgomery County, Ohio","totpop",537309
"58","39115","Morgan County, Ohio","totpop",13802
"59","39117","Morrow County, Ohio","totpop",34950
"60","39119","Muskingum County, Ohio","totpop",86410
"61","39121","Noble County, Ohio","totpop",14115
"62","39123","Ottawa County, Ohio","totpop",40364
"63","39125","Paulding County, Ohio","totpop",18806
"64","39127","Perry County, Ohio","totpop",35408
"65","39129","Pickaway County, Ohio","totpop",58539
"66","39131","Pike County, Ohio","totpop",27088
"67","39133","Portage County, Ohio","totpop",161791
"68","39135","Preble County, Ohio","totpop",40999
"69","39137","Putnam County, Ohio","totpop",34451
"70","39139","Richland County, Ohio","totpop",124936
"71","39141","Ross County, Ohio","totpop",77093
"72","39143","Sandusky County, Ohio","totpop",58896
"73","39145","Scioto County, Ohio","totpop",74008
"74","39147","Seneca County, Ohio","totpop",55069
"75","39149","Shelby County, Ohio","totpop",48230
"76","39151","Stark County, Ohio","totpop",374853
"77","39153","Summit County, Ohio","totpop",540428
"78","39155","Trumbull County, Ohio","totpop",201977
"79","39157","Tuscarawas County, Ohio","totpop",93263
"80","39159","Union County, Ohio","totpop",62784
"81","39161","Van Wert County, Ohio","totpop",28931
"82","39163","Vinton County, Ohio","totpop",12800
"83","39165","Warren County, Ohio","totpop",242337
"84","39167","Washington County, Ohio","totpop",59771
"85","39169","Wayne County, Ohio","totpop",116894
"86","39171","Williams County, Ohio","totpop",37102
"87","39173","Wood County, Ohio","totpop",132248
"88","39175","Wyandot County, Ohio","totpop",21900
"89","39001","Adams County, Ohio","pct.black",0.3
"90","39003","Allen County, Ohio","pct.black",12.2
"91","39005","Ashland County, Ohio","pct.black",0.7
"92","39007","Ashtabula County, Ohio","pct.black",3.6
"93","39009","Athens County, Ohio","pct.black",4.4
